t,lx,ly,rx,ry,px,py,pz,qx,qy,qz,qw
0.000000,-0.021971,0.011743,-0.028474,0.025308,-0.006904,-0.006112,0.007077,-0.024400,0.014019,-0.011693,-0.999536
0.009000,-0.022057,0.011934,-0.028531,0.025529,-0.006916,-0.006134,0.007102,-0.024484,0.013989,-0.011761,-0.999533
0.017000,-0.022112,0.012034,-0.028555,0.025674,-0.006926,-0.006138,0.007105,-0.024495,0.013966,-0.011815,-0.999533
0.027000,-0.022220,0.012175,-0.028638,0.025833,-0.006907,-0.006159,0.007130,-0.024582,0.013919,-0.011788,-0.999531
0.034000,-0.022283,0.012256,-0.028675,0.025891,-0.006898,-0.006169,0.007142,-0.024622,0.013894,-0.011777,-0.999531
0.042000,-0.022540,0.012630,-0.028795,0.026184,-0.006890,-0.006182,0.007157,-0.024671,0.013855,-0.011784,-0.999530
0.050000,-0.022540,0.012630,-0.028795,0.026184,-0.006893,-0.006177,0.007151,-0.024651,0.013816,-0.011829,-0.999531
0.059000,-0.022867,0.012823,-0.029019,0.026312,-0.006875,-0.006170,0.007144,-0.024624,0.013764,-0.011811,-0.999532
0.067000,-0.022867,0.012823,-0.029019,0.026312,-0.006861,-0.006164,0.007138,-0.024601,0.013730,-0.011792,-0.999534
0.075000,-0.023101,0.012716,-0.029217,0.026235,-0.006851,-0.006143,0.007115,-0.024520,0.013690,-0.011792,-0.999536
0.084000,-0.023101,0.012716,-0.029217,0.026235,-0.006833,-0.006133,0.007104,-0.024482,0.013661,-0.011755,-0.999538
0.092000,-0.023354,0.012577,-0.029490,0.026292,-0.006832,-0.006117,0.007086,-0.024418,0.013625,-0.011782,-0.999540
0.100000,-0.023354,0.012577,-0.029490,0.026292,-0.006815,-0.006109,0.007079,-0.024391,0.013603,-0.011743,-0.999541
0.109000,-0.023627,0.012732,-0.029652,0.026394,-0.006795,-0.006104,0.007074,-0.024371,0.013564,-0.011706,-0.999542
0.117000,-0.023627,0.012732,-0.029652,0.026394,-0.006768,-0.006115,0.007087,-0.024416,0.013525,-0.011648,-0.999543
0.126000,-0.023872,0.013077,-0.029876,0.026848,-0.006732,-0.006121,0.007097,-0.024447,0.013503,-0.011542,-0.999543
0.134000,-0.024296,0.013815,-0.029982,0.027072,-0.006707,-0.006116,0.007092,-0.024429,0.013491,-0.011468,-0.999545
0.142000,-0.024546,0.014359,-0.030031,0.027348,-0.006690,-0.006108,0.007084,-0.024402,0.013488,-0.011414,-0.999546
0.150000,-0.024530,0.014790,-0.030021,0.027759,-0.006683,-0.006112,0.007089,-0.024418,0.013507,-0.011375,-0.999546
0.159000,-0.024530,0.014790,-0.030021,0.027759,-0.006668,-0.006110,0.007088,-0.024413,0.013539,-0.011294,-0.999547
0.167000,-0.024507,0.015122,-0.029948,0.028255,-0.006663,-0.006115,0.007093,-0.024432,0.013560,-0.011262,-0.999546
0.175000,-0.024547,0.015558,-0.029921,0.028769,-0.006650,-0.006109,0.007087,-0.024412,0.013593,-0.011188,-0.999547
